Source,Target,Type,Id,Label,Weight,size,Color
40,63,Undirected,220,,1,1,"#999999"
40,50,Undirected,221,,4,1,"#999999"
39,35,Undirected,223,,8,3,"#999999"
42,21,Undirected,224,,1,1,"#999999"
39,44,Undirected,225,,20,3,"#999999"
42,73,Undirected,226,,27,1,"#999999"
42,20,Undirected,227,,27,1,"#999999"
41,73,Undirected,228,,4,1,"#999999"
41,9,Undirected,229,,14,1,"#999999"
41,43,Undirected,230,,5,1,"#999999"
41,68,Undirected,231,,2,1,"#999999"
43,55,Undirected,233,,16,1,"#999999"
42,49,Undirected,234,,27,1,"#999999"
41,42,Undirected,235,,62,1,"#999999"
42,68,Undirected,236,,27,1,"#999999"
41,20,Undirected,237,,2,1,"#999999"
41,49,Undirected,238,,9,1,"#999999"
52,55,Undirected,239,,3,1,"#999999"
52,56,Undirected,240,,1,1,"#999999"
20,52,Undirected,241,,4,1,"#999999"
45,56,Undirected,242,,1,1,"#999999"
20,68,Undirected,243,,1,1,"#999999"
49,73,Undirected,244,,3,1,"#999999"
26,55,Undirected,245,,5,1,"#999999"
20,73,Undirected,246,,1,1,"#999999"
45,9,Undirected,247,,1,1,"#999999"
20,55,Undirected,248,,44,1,"#999999"
45,20,Undirected,249,,4,1,"#999999"
45,55,Undirected,250,,6,1,"#999999"
45,76,Undirected,251,,1,1,"#999999"
45,52,Undirected,252,,1,1,"#999999"
52,9,Undirected,253,,1,1,"#999999"
49,68,Undirected,254,,1,1,"#999999"
49,58,Undirected,255,,1,1,"#999999"
9,49,Undirected,256,,8,1,"#999999"
49,70,Undirected,257,,1,1,"#999999"
49,20,Undirected,258,,1,1,"#999999"
20,56,Undirected,259,,3,1,"#999999"
51,55,Undirected,260,,1,1,"#999999"
9,73,Undirected,261,,4,1,"#999999"
20,37,Undirected,262,,2,1,"#999999"
55,56,Undirected,263,,19,1,"#999999"
55,37,Undirected,264,,11,2,"#999999"
55,61,Undirected,265,,5,1,"#999999"
55,63,Undirected,266,,2,1,"#999999"
55,9,Undirected,267,,1,1,"#999999"
55,64,Undirected,268,,2,1,"#999999"
55,76,Undirected,269,,1,1,"#999999"
56,37,Undirected,270,,2,1,"#999999"
56,9,Undirected,271,,1,1,"#999999"
68,73,Undirected,272,,1,1,"#999999"
73,27,Undirected,273,,2,1,"#999999"
9,79,Undirected,274,,198458,4411,"#999999"
9,93,Undirected,275,,44808,1240,"#999999"
9,123,Undirected,276,,2367,267,"#999999"
9,122,Undirected,277,,4236,440,"#999999"
9,83,Undirected,278,,399915,13351,"#999999"
9,120,Undirected,279,,732,140,"#999999"
9,119,Undirected,280,,943,88,"#999999"
9,85,Undirected,281,,24772,1501,"#999999"
9,111,Undirected,282,,6849,373,"#999999"
9,118,Undirected,283,,1178,115,"#999999"
9,80,Undirected,284,,729934,8605,"#999999"
9,97,Undirected,285,,12684,819,"#999999"
9,116,Undirected,286,,889,61,"#999999"
9,84,Undirected,287,,92808,3124,"#999999"
9,82,Undirected,288,,176200,5124,"#999999"
9,71,Undirected,289,,43007,1522,"#999999"
9,114,Undirected,290,,770,120,"#999999"
9,87,Undirected,291,,22052,411,"#999999"
9,77,Undirected,292,,10615166,2294,"#999999"
78,318,Undirected,293,,1,1,"#999999"
78,313,Undirected,294,,2,1,"#999999"
78,83,Undirected,295,,8619,68,"#999999"
78,309,Undirected,296,,35,1,"#999999"
78,71,Undirected,297,,522,11,"#999999"
78,305,Undirected,298,,1,1,"#999999"
78,230,Undirected,299,,2,1,"#999999"
78,301,Undirected,300,,4,1,"#999999"
78,82,Undirected,301,,3533,28,"#999999"
78,287,Undirected,302,,47,1,"#999999"
78,283,Undirected,303,,40,2,"#999999"
78,189,Undirected,304,,11,4,"#999999"
78,278,Undirected,305,,1,1,"#999999"
78,275,Undirected,306,,2,1,"#999999"
78,272,Undirected,307,,1,1,"#999999"
78,319,Undirected,308,,3,1,"#999999"
78,166,Undirected,309,,2,1,"#999999"
78,80,Undirected,310,,5524,27,"#999999"
78,196,Undirected,311,,44,2,"#999999"
78,259,Undirected,312,,2,1,"#999999"
78,258,Undirected,313,,4,1,"#999999"
78,256,Undirected,314,,9,1,"#999999"
78,255,Undirected,315,,2,1,"#999999"
78,253,Undirected,316,,4,1,"#999999"
78,240,Undirected,317,,2,1,"#999999"
78,236,Undirected,318,,1,1,"#999999"
78,91,Undirected,319,,57,5,"#999999"
78,79,Undirected,320,,1367,16,"#999999"
78,219,Undirected,321,,4,1,"#999999"
78,216,Undirected,322,,1,1,"#999999"
78,145,Undirected,323,,157,2,"#999999"
78,210,Undirected,324,,1,1,"#999999"
78,209,Undirected,325,,2,1,"#999999"
78,206,Undirected,326,,8,1,"#999999"
78,203,Undirected,327,,6,1,"#999999"
78,202,Undirected,328,,1,1,"#999999"
78,200,Undirected,329,,52,1,"#999999"
78,86,Undirected,330,,249,3,"#999999"
78,197,Undirected,331,,2,1,"#999999"
78,124,Undirected,332,,53,3,"#999999"
78,327,Undirected,333,,1,1,"#999999"
78,110,Undirected,334,,301,4,"#999999"
78,85,Undirected,335,,206,7,"#999999"
78,185,Undirected,336,,7,1,"#999999"
78,184,Undirected,337,,1,1,"#999999"
78,181,Undirected,338,,1,1,"#999999"
78,175,Undirected,339,,13,2,"#999999"
78,174,Undirected,340,,28,1,"#999999"
78,157,Undirected,341,,19,1,"#999999"
78,152,Undirected,342,,1,1,"#999999"
78,93,Undirected,343,,30,5,"#999999"
78,136,Undirected,344,,51,1,"#999999"
78,144,Undirected,345,,5,1,"#999999"
78,143,Undirected,346,,12,1,"#999999"
78,141,Undirected,347,,42,1,"#999999"
78,139,Undirected,348,,56,1,"#999999"
78,138,Undirected,349,,16,1,"#999999"
