Source,Target,Type,Id,Label,Weight,color,Color
Alphabet,samsung,Undirected,483,,151,"#000000","#000000"
Alphabet,yandex-team,Undirected,484,,17,"#000000","#000000"
Alphabet,fraunhofer,Undirected,485,,43,"#000000","#000000"
Alphabet,capgemini,Undirected,486,,78,"#000000","#000000"
Alphabet,ornl,Undirected,487,,74,"#000000","#000000"
Alphabet,soton,Undirected,488,,30,"#000000","#000000"
Alphabet,tencent,Undirected,489,,83,"#000000","#000000"
rutgers,IBM,Undirected,491,,3,"#000000","#000000"
rutgers,AMD,Undirected,492,,1,"#000000","#000000"
rutgers,Intel,Undirected,493,,1,"#000000","#000000"
rutgers,Microsoft,Undirected,496,,1,"#000000","#000000"
Alphabet,hotmail,Undirected,497,,143,"#000000","#000000"
Alphabet,dfki,Undirected,498,,222,"#000000","#000000"
Intel,Intel,Undirected,501,,4198,"#000000","#000000"
Intel,Nvidia,Undirected,502,,1397,"#000000","#000000"
Intel,tu-dresden,Undirected,504,,5,"#000000","#000000"
Intel,arm,Undirected,505,,1984,"#000000","#000000"
Intel,linaro,Undirected,506,,111,"#000000","#000000"
Intel,IBM,Undirected,507,,34,"#000000","#000000"
Intel,Apple,Undirected,508,,14,"#000000","#000000"
Intel,ispras,Undirected,509,,27,"#000000","#000000"
Intel,yandex-team,Undirected,510,,40,"#000000","#000000"
Intel,tum,Undirected,511,,57,"#000000","#000000"
Intel,bytedance,Undirected,512,,5,"#000000","#000000"
Intel,MobileIron,Undirected,513,,345,"#000000","#000000"
Intel,Microsoft,Undirected,514,,293,"#000000","#000000"
Intel,amazon,Undirected,515,,116,"#000000","#000000"
Intel,butterflynetinc,Undirected,516,,8,"#000000","#000000"
Intel,engflow,Undirected,517,,8,"#000000","#000000"
Alphabet,motorola,Undirected,518,,116,"#000000","#000000"
Alphabet,sifive,Undirected,519,,8,"#000000","#000000"
Alphabet,verisilicon,Undirected,520,,7,"#000000","#000000"
Alphabet,nxp,Undirected,521,,10,"#000000","#000000"
AMD,graphcore,Undirected,522,,45,"#000000","#000000"
AMD,MobileIron,Undirected,523,,40,"#000000","#000000"
AMD,ornl,Undirected,524,,27,"#000000","#000000"
AMD,butterflynetinc,Undirected,525,,3,"#000000","#000000"
AMD,engflow,Undirected,527,,3,"#000000","#000000"
Alphabet,illinois,Undirected,529,,66,"#000000","#000000"
Alphabet,polymagelabs,Undirected,530,,187,"#000000","#000000"
Alphabet,nevada,Undirected,531,,5,"#000000","#000000"
Alphabet,users,Undirected,532,,5,"#000000","#000000"
Nvidia,Nvidia,Undirected,534,,8557,"#000000","#000000"
Nvidia,linaro,Undirected,535,,49,"#000000","#000000"
Nvidia,tencent,Undirected,536,,2,"#000000","#000000"
Nvidia,Apple,Undirected,537,,88,"#000000","#000000"
Nvidia,MobileIron,Undirected,538,,236,"#000000","#000000"
Nvidia,tu-dresden,Undirected,539,,31,"#000000","#000000"
Nvidia,arm,Undirected,540,,338,"#000000","#000000"
Nvidia,IBM,Undirected,541,,97,"#000000","#000000"
Nvidia,graphcore,Undirected,542,,50,"#000000","#000000"
Nvidia,ispras,Undirected,543,,8,"#000000","#000000"
Nvidia,tum,Undirected,544,,16,"#000000","#000000"
Nvidia,bytedance,Undirected,545,,21,"#000000","#000000"
Nvidia,Microsoft,Undirected,546,,239,"#000000","#000000"
Alphabet,fau,Undirected,552,,52,"#000000","#000000"
Alphabet,metu,Undirected,555,,13,"#000000","#000000"
tu-dresden,arm,Undirected,562,,6,"#000000","#000000"
tu-dresden,linaro,Undirected,563,,2,"#000000","#000000"
tu-dresden,amazon,Undirected,565,,1,"#000000","#000000"
Nvidia,snapchat,Undirected,569,,2,"#000000","#000000"
AMD,bytedance,Undirected,572,,7,"#000000","#000000"
AMD,Microsoft,Undirected,573,,58,"#000000","#000000"
Alphabet,cern,Undirected,575,,7,"#000000","#000000"
Nvidia,nod-labs,Undirected,577,,12,"#000000","#000000"
cern,Nvidia,Undirected,578,,6,"#000000","#000000"
cern,nod-labs,Undirected,579,,2,"#000000","#000000"
arm,arm,Undirected,580,,1852,"#000000","#000000"
arm,linaro,Undirected,581,,93,"#000000","#000000"
arm,ispras,Undirected,582,,23,"#000000","#000000"
arm,yandex-team,Undirected,583,,8,"#000000","#000000"
arm,tum,Undirected,584,,54,"#000000","#000000"
arm,MobileIron,Undirected,585,,283,"#000000","#000000"
arm,amazon,Undirected,586,,43,"#000000","#000000"
arm,mathworks,Undirected,587,,587,"#000000","#000000"
mathworks,Intel,Undirected,588,,4,"#000000","#000000"
mathworks,IBM,Undirected,589,,2,"#000000","#000000"
adalogics,IBM,Undirected,591,,10,"#000000","#000000"
adalogics,Nvidia,Undirected,592,,1,"#000000","#000000"
adalogics,Intel,Undirected,593,,2,"#000000","#000000"
adalogics,amazon,Undirected,595,,2,"#000000","#000000"
adalogics,capgemini,Undirected,596,,10,"#000000","#000000"
Alphabet,supremetech,Undirected,597,,3,"#000000","#000000"
arm,IBM,Undirected,599,,20,"#000000","#000000"
Alphabet,snapchat,Undirected,601,,1,"#000000","#000000"
linaro,Apple,Undirected,602,,6,"#000000","#000000"
linaro,ispras,Undirected,603,,1,"#000000","#000000"
linaro,tum,Undirected,604,,2,"#000000","#000000"
linaro,amazon,Undirected,605,,404,"#000000","#000000"
linaro,MobileIron,Undirected,606,,18,"#000000","#000000"
linaro,users,Undirected,607,,1,"#000000","#000000"
linaro,soton,Undirected,608,,2,"#000000","#000000"
linaro,IBM,Undirected,609,,2,"#000000","#000000"
nevada,Nvidia,Undirected,610,,4,"#000000","#000000"
IBM,graphcore,Undirected,611,,10,"#000000","#000000"
IBM,samsung,Undirected,612,,2,"#000000","#000000"
IBM,bytedance,Undirected,613,,2,"#000000","#000000"
IBM,capgemini,Undirected,614,,16,"#000000","#000000"
IBM,Microsoft,Undirected,615,,75,"#000000","#000000"
IBM,IBM,Undirected,616,,2,"#000000","#000000"
IBM,amazon,Undirected,617,,5,"#000000","#000000"
Alphabet,spotify,Undirected,618,,2,"#000000","#000000"
Nvidia,butterflynetinc,Undirected,621,,1,"#000000","#000000"
Nvidia,users,Undirected,622,,2,"#000000","#000000"
Nvidia,soton,Undirected,623,,12,"#000000","#000000"
Nvidia,engflow,Undirected,624,,1,"#000000","#000000"
arm,samsung,Undirected,625,,3,"#000000","#000000"
Intel,metu,Undirected,628,,4,"#000000","#000000"
Apple,Apple,Undirected,629,,8,"#000000","#000000"
