Source,Target,Type,Id,Label,Weight,color,Color
Orange,Kobalt,Undirected,2,,2,"#000000","#000000"
Orange,Orange,Undirected,6,,8,"#000000","#000000"
Ensostudio,Orange,Undirected,7,,1,"#000000","#000000"
Orange,Ualberta,Undirected,9,,1,"#000000","#000000"
Alphabet,Alphabet,Undirected,12,,1881430,"#000000","#000000"
Alphabet,berkeley,Undirected,14,,133,"#000000","#000000"
Alphabet,Oppo,Undirected,16,,4701,"#000000","#000000"
berkeley,Oppo,Undirected,17,,12,"#000000","#000000"
Alphabet,uwaterloo,Undirected,19,,30,"#000000","#000000"
Alphabet,canonical,Undirected,21,,606,"#000000","#000000"
canonical,canonical,Undirected,22,,2,"#000000","#000000"
Alphabet,manabie,Undirected,24,,30,"#000000","#000000"
Alphabet,naver,Undirected,26,,282,"#000000","#000000"
oppo,naver,Undirected,27,,17,"#000000","#000000"
Alphabet,Alibaba,Undirected,29,,55,"#000000","#000000"
oppo,Alibaba,Undirected,30,,1,"#000000","#000000"
Alphabet,Sharezone,Undirected,32,,158,"#000000","#000000"
oppo,Sharezone,Undirected,33,,13,"#000000","#000000"
oppo,Oppo,Undirected,36,,4,"#000000","#000000"
Alphabet,diagnosia,Undirected,38,,180,"#000000","#000000"
Alphabet,Naver,Undirected,40,,20,"#000000","#000000"
Alphabet,Sage,Undirected,42,,29,"#000000","#000000"
oppo,Sage,Undirected,43,,3,"#000000","#000000"
Alibaba,Sage,Undirected,44,,2,"#000000","#000000"
Alphabet,Bytedance,Undirected,46,,326,"#000000","#000000"
canonical,Bytedance,Undirected,47,,3,"#000000","#000000"
Meta,Meta,Undirected,50,,23384,"#000000","#000000"
Cyntler,Meta,Undirected,51,,2,"#000000","#000000"
Meta,Shopify,Undirected,54,,7,"#000000","#000000"
Meta,Alphabet,Undirected,57,,183,"#000000","#000000"
Meta,Lectra,Undirected,59,,85,"#000000","#000000"
Alphabet,Lectra,Undirected,60,,4,"#000000","#000000"
Meta,Tracxn,Undirected,62,,5,"#000000","#000000"
Meta,Kensho,Undirected,64,,3,"#000000","#000000"
Meta,Adobe,Undirected,66,,12,"#000000","#000000"
Meta,Naver,Undirected,68,,20,"#000000","#000000"
Lectra,Naver,Undirected,69,,2,"#000000","#000000"
Alphabet,Tensorflow,Undirected,72,,905891,"#000000","#000000"
Alphabet,arm,Undirected,73,,22303,"#000000","#000000"
Alphabet,Intel,Undirected,74,,33088,"#000000","#000000"
Alphabet,Nvidia,Undirected,75,,98603,"#000000","#000000"
Alphabet,tu-dresden,Undirected,76,,1598,"#000000","#000000"
Alphabet,IBM,Undirected,77,,20860,"#000000","#000000"
Alphabet,nxp,Undirected,78,,469,"#000000","#000000"
Alphabet,cadence,Undirected,79,,514,"#000000","#000000"
Alphabet,MobileIron,Undirected,80,,13753,"#000000","#000000"
Alphabet,bdti,Undirected,81,,6322,"#000000","#000000"
Alphabet,ARM,Undirected,83,,8502,"#000000","#000000"
Alphabet,xtech,Undirected,84,,1653,"#000000","#000000"
Alphabet,Microsoft,Undirected,85,,1019,"#000000","#000000"
Alphabet,AMD,Undirected,86,,26986,"#000000","#000000"
Alphabet,linaro,Undirected,88,,345,"#000000","#000000"
Alphabet,Apple,Undirected,89,,1621,"#000000","#000000"
Alphabet,nyu,Undirected,91,,2299,"#000000","#000000"
Alphabet,habana,Undirected,92,,75,"#000000","#000000"
Alphabet,instadeep,Undirected,93,,45,"#000000","#000000"
Alphabet,amazon,Undirected,94,,2140,"#000000","#000000"
Alphabet,alibaba-inc,Undirected,95,,248,"#000000","#000000"
Alphabet,Polymagelabs,Undirected,96,,4885,"#000000","#000000"
Alphabet,tencent,Undirected,97,,1662,"#000000","#000000"
Alphabet,uvic,Undirected,98,,877,"#000000","#000000"
Alphabet,graphcore,Undirected,99,,857,"#000000","#000000"
Alphabet,dfki,Undirected,100,,3057,"#000000","#000000"
Alphabet,systrangroup,Undirected,101,,198,"#000000","#000000"
Alphabet,cerebras,Undirected,102,,627,"#000000","#000000"
Alphabet,nsec,Undirected,103,,655,"#000000","#000000"
Alphabet,maxar,Undirected,105,,460,"#000000","#000000"
Alphabet,snu,Undirected,110,,63,"#000000","#000000"
Alphabet,calpoly,Undirected,111,,140,"#000000","#000000"
Alphabet,sunoru,Undirected,112,,184,"#000000","#000000"
Alphabet,legatohealth,Undirected,113,,824,"#000000","#000000"
Alphabet,pku,Undirected,114,,26,"#000000","#000000"
Alphabet,bytedance,Undirected,115,,294,"#000000","#000000"
Alphabet,peritiae,Undirected,116,,252,"#000000","#000000"
Alphabet,noble,Undirected,117,,60,"#000000","#000000"
Alphabet,users,Undirected,149,,141,"#000000","#000000"
Alphabet,scortex,Undirected,150,,183,"#000000","#000000"
Alphabet,sony,Undirected,151,,18,"#000000","#000000"
Alphabet,espressif,Undirected,152,,71,"#000000","#000000"
Alphabet,antmicro,Undirected,153,,509,"#000000","#000000"
Alphabet,synopsys,Undirected,154,,1027,"#000000","#000000"
Alphabet,himax,Undirected,155,,213,"#000000","#000000"
Alphabet,yahoo,Undirected,156,,9,"#000000","#000000"
Alphabet,xmos,Undirected,157,,40,"#000000","#000000"
Alphabet,edgeimpulse,Undirected,158,,142,"#000000","#000000"
Alphabet,sensiml,Undirected,160,,378,"#000000","#000000"
Alphabet,microsoft,Undirected,161,,74,"#000000","#000000"
Alphabet,bmsce,Undirected,162,,301,"#000000","#000000"
Alphabet,rutgers,Undirected,164,,170,"#000000","#000000"
Alphabet,fraunhofer,Undirected,165,,473,"#000000","#000000"
Alphabet,nod-labs,Undirected,166,,59,"#000000","#000000"
Alphabet,linkedin,Undirected,167,,131,"#000000","#000000"
Alphabet,inailuig,Undirected,168,,439,"#000000","#000000"
Alphabet,scu,Undirected,169,,7,"#000000","#000000"
Alphabet,dropbox,Undirected,170,,62,"#000000","#000000"
Alphabet,iisc,Undirected,171,,109,"#000000","#000000"
Polymagelabs,Tensorflow,Undirected,173,,1045,"#000000","#000000"
Polymagelabs,fraunhofer,Undirected,174,,6,"#000000","#000000"
Polymagelabs,Polymagelabs,Undirected,175,,26,"#000000","#000000"
Alphabet,broadcom,Undirected,176,,83,"#000000","#000000"
Alphabet,eyedea,Undirected,177,,43,"#000000","#000000"
Alphabet,artec-group,Undirected,178,,138,"#000000","#000000"
Alphabet,tutanota,Undirected,179,,29,"#000000","#000000"
Alphabet,unibap,Undirected,180,,19,"#000000","#000000"
Alphabet,primatelabs,Undirected,181,,74,"#000000","#000000"
Alphabet,windriver,Undirected,182,,7,"#000000","#000000"
Alphabet,acm,Undirected,183,,11,"#000000","#000000"
Alphabet,D2iQ,Undirected,184,,2,"#000000","#000000"
Alphabet,stylight,Undirected,185,,64,"#000000","#000000"
Alphabet,iith,Undirected,186,,76,"#000000","#000000"
Alphabet,mercateo,Undirected,187,,59,"#000000","#000000"
Alphabet,infineon,Undirected,188,,881,"#000000","#000000"
Alphabet,spotify,Undirected,189,,104,"#000000","#000000"
Alphabet,brainscode,Undirected,197,,65,"#000000","#000000"
Alphabet,dalim,Undirected,198,,40,"#000000","#000000"
Alphabet,wdc,Undirected,199,,23,"#000000","#000000"
Alphabet,huawei,Undirected,200,,339,"#000000","#000000"
Alphabet,turation,Undirected,201,,12,"#000000","#000000"
Alphabet,northvolt,Undirected,202,,90,"#000000","#000000"
Alphabet,mercury,Undirected,203,,243,"#000000","#000000"
Nvidia,Nvidia,Undirected,204,,7374,"#000000","#000000"
Nvidia,Tensorflow,Undirected,205,,23407,"#000000","#000000"
Nvidia,rutgers,Undirected,206,,34,"#000000","#000000"
Nvidia,AMD,Undirected,207,,2501,"#000000","#000000"
Nvidia,Intel,Undirected,208,,1846,"#000000","#000000"
Nvidia,Apple,Undirected,209,,13,"#000000","#000000"
Nvidia,IBM,Undirected,211,,106,"#000000","#000000"
Nvidia,MobileIron,Undirected,212,,280,"#000000","#000000"
Nvidia,linkedin,Undirected,213,,29,"#000000","#000000"
Nvidia,tencent,Undirected,214,,103,"#000000","#000000"
Nvidia,dropbox,Undirected,216,,69,"#000000","#000000"
Nvidia,nyu,Undirected,217,,16,"#000000","#000000"
Nvidia,amazon,Undirected,218,,7,"#000000","#000000"
Alphabet,lambdal,Undirected,219,,41,"#000000","#000000"
Alphabet,jhu,Undirected,220,,14,"#000000","#000000"
