Source,Target,Type,Id,Label,Weight,color,Color
Illionois,Orange,Undirected,6,,1,"#000000","#000000"
Codelab,Liferay,Undirected,8,,1,"#000000","#000000"
Alphabet,Alphabet,Undirected,10,,2102580,"#000000","#000000"
Alphabet,Diagnosia,Undirected,11,,88,"#000000","#000000"
Meta,Meta,Undirected,14,,27712,"#000000","#000000"
Smartface,Meta,Undirected,15,,337,"#000000","#000000"
Adobe,Meta,Undirected,16,,21,"#000000","#000000"
Humu,Meta,Undirected,17,,26,"#000000","#000000"
Meta,Github,Undirected,21,,33,"#000000","#000000"
Meta,Microsoft,Undirected,23,,17,"#000000","#000000"
Meta,Whimsical,Undirected,25,,364,"#000000","#000000"
Github,Whimsical,Undirected,26,,1,"#000000","#000000"
Meta,Alphabet,Undirected,27,,174,"#000000","#000000"
Meta,Naver,Undirected,29,,44,"#000000","#000000"
Meta,Webflow,Undirected,31,,99,"#000000","#000000"
Meta,Screen,Undirected,33,,1,"#000000","#000000"
grailbio,Alphabet,Undirected,34,,3,"#000000","#000000"
Alphabet,Nvidia,Undirected,35,,82610,"#000000","#000000"
Nvidia,Nvidia,Undirected,36,,23490,"#000000","#000000"
Intel,Nvidia,Undirected,37,,2091,"#000000","#000000"
MobileIron,Nvidia,Undirected,38,,1284,"#000000","#000000"
noble,Nvidia,Undirected,39,,12,"#000000","#000000"
IBM,Nvidia,Undirected,40,,1098,"#000000","#000000"
stylight,Nvidia,Undirected,41,,16,"#000000","#000000"
dosc,Nvidia,Undirected,42,,4,"#000000","#000000"
Alphabet,Intel,Undirected,43,,60983,"#000000","#000000"
Intel,Intel,Undirected,44,,28768,"#000000","#000000"
dfki,Intel,Undirected,45,,5,"#000000","#000000"
realityengines,Intel,Undirected,46,,1,"#000000","#000000"
ARM,Intel,Undirected,47,,7,"#000000","#000000"
criteo,Intel,Undirected,48,,8,"#000000","#000000"
noble,Intel,Undirected,49,,3,"#000000","#000000"
ucm,Intel,Undirected,50,,3,"#000000","#000000"
polymagelabs,Intel,Undirected,51,,15,"#000000","#000000"
minds,Intel,Undirected,52,,2,"#000000","#000000"
Alphabet,dfki,Undirected,53,,435,"#000000","#000000"
dfki,dfki,Undirected,54,,1,"#000000","#000000"
Alphabet,realityengines,Undirected,55,,89,"#000000","#000000"
Alphabet,ARM,Undirected,80,,898,"#000000","#000000"
Alphabet,MobileIron,Undirected,81,,47947,"#000000","#000000"
Intel,MobileIron,Undirected,82,,2211,"#000000","#000000"
ARM,MobileIron,Undirected,84,,4,"#000000","#000000"
Alphabet,criteo,Undirected,85,,274,"#000000","#000000"
IBM,criteo,Undirected,86,,9,"#000000","#000000"
brainscode,criteo,Undirected,87,,1,"#000000","#000000"
Alphabet,fizyr,Undirected,88,,169,"#000000","#000000"
MobileIron,fizyr,Undirected,89,,10,"#000000","#000000"
IBM,fizyr,Undirected,90,,1,"#000000","#000000"
Alphabet,noble,Undirected,91,,248,"#000000","#000000"
MobileIron,noble,Undirected,92,,66,"#000000","#000000"
Alphabet,ucm,Undirected,93,,334,"#000000","#000000"
dfki,ucm,Undirected,94,,2,"#000000","#000000"
Alphabet,polymagelabs,Undirected,95,,1251,"#000000","#000000"
dfki,polymagelabs,Undirected,96,,9,"#000000","#000000"
Alphabet,Synopsys,Undirected,98,,35,"#000000","#000000"
Alphabet,mobvoi,Undirected,99,,211,"#000000","#000000"
Alphabet,goilluminate,Undirected,100,,40,"#000000","#000000"
Alphabet,AMD,Undirected,101,,20470,"#000000","#000000"
Nvidia,AMD,Undirected,102,,836,"#000000","#000000"
